Lathagrium fuscovirens
Lathagrium undulatum
Lecaniella naegelii
Lecanora albella
Lecanora caesiorubella
Lecanora allophana
Lecanora argentea
Lecanora argopholis
Lecanora cateilea
Lecanora cenisia
Lecanora circumborealis
Lecanora glabrata
Lecanora intricata
Lecanora meridionalis
Lecanora minutella
Lecanora oreinoides
Lecanora polytropa
Lecanora pulicaris
Lecanora rugosella
Lecanora rupicola
Lecanora strobilina
Lecanora symmicta
Lecanora thysanophora
Lecanora wisconsinensis
Lecidea albofuscescens
Lecidea atrobrunnea
Lecidea auriculata
*Lecidea carnulenta
Lecidea lithophila
Lecidea tessellata
Lecidea turgidula
Lecidella carpathica
Lecidella euphorea
Lecidella patavina
Lecidella stigmatea
Lempholemma cladodes
Lempholemma polyanthes
cf. Lempholemma
Lepra amara
Lepra multipunctoides
Lepra ophthalmiza
Lepra pustulata
Lepraria cryophila
Lepraria eburnea
Lepraria finkii
Lepraria neglecta
Lepraria oxybapha
Leprocaulon adhaerens
Leproplaca chrysodeta
Leptogium acadiense
XVII); Paquette
Leptogium arsenei
Leptogium corticola
Leptogium cyanescens
Leptogium saturninum
†Leptorhaphis epidermidis
#Lichenoconium erodens
#Lichenoconium lecanorae
*#Lichenoconium lichenicola
#Lichenodiplis lecanorae
***Lichenopeltella heterodermiicola
#Lichenostigma cosmopolites
#Lichenostigma elongatum
"#Lichenostigma ""rhizoplacae"""
Lichinella nigritella
Lobaria pulmonaria
Lobarina scrobiculata
Lopadium disciforme
Loxospora cismonica
Loxospora elatina
Loxospora ochrophaea
Massalongia carnosa
Megalospora porphyritis
Megaspora verrucosa
Melanelia hepatizon
Melanelia stygia
Melanelixia glabratula
Melanelixia subaurifera
Melanohalea exasperatula
Melanohalea halei
Melanohalea infumata
Melanohalea olivacea
Melanohalea septentrionalis
Menegazzia subsimilis
Menegazzia terebrata
Micarea elachista
Micarea peliocarpa
Micarea prasina
†Microcalicium ahlneri
#Microcalicium arenarium
#Microcalicium disseminatum
#Miriquidica sp.
†Monerolechia badia
Montanelia saximontana
Montanelia disjuncta
Montanelia panniformis
Montanelia sorediata
#Muellerella erratica
#Muellerella lichenicola
*Multiclavula coronilla
Multiclavula mucida
Mycobilimbia berengeriana
Mycobilimbia carneoalbida
Mycobilimbia epixanthoides
Mycobilimbia tetramera
Mycoblastus sanguinarioides
Mycoblastus sanguinarius
†Mycocalicium subtile
Myriolecis crenulata
Myriolecis dispersa
*#Myriolecis invadens
Myriolecis sambuci
*Myriolecis wetmorei
Nephroma bellum
Nephroma helveticum
Nephroma helveticum
Nephroma parile
Nephroma resupinatum
#Nesolechia oxyspora
Normandina pulchella
Ochrolechia arborea
#Paranectria oropensis
